GameType, Year, locCity, locCountry, Rank, partCountry, Gold, Silver, Bronze, Total,Wbcountry,GDP,Pop
Summer,2012,London,Great Britain,1,United States,46,29,29,104,United States,16244600000000,313914040
Summer,2012,London,Great Britain,2,China,38,27,23,88,China,8227102629831,1350695000
Summer,2012,London,Great Britain,3,Russia,24,26,32,82,Russian Federation,2014774938342,143533000
Summer,2012,London,Great Britain,4,Great Britain,29,17,19,65,United Kingdom,2471783570300,63227526
Summer,2012,London,Great Britain,5,Germany,11,19,14,44,Germany,3428130624839,81889839
Summer,2012,London,Great Britain,6,Japan,7,14,17,38,Japan,5959718262199,127561489
Summer,2012,London,Great Britain,7,Australia,7,16,12,35,Australia,1532407884934,22683600
Summer,2012,London,Great Britain,8,France,11,11,12,34,France,2612878387760,65696689
Summer,2012,London,Great Britain,9,South Korea,13,8,7,28,"Korea, Rep.",1129598273324,50004000
Summer,2012,London,Great Britain,10,Italy,8,9,11,28,Italy,2014669579720,60917978
Summer,2012,London,Great Britain,11,Netherlands,6,6,8,20,Netherlands,770555412702,16767705
Summer,2012,London,Great Britain,12,Ukraine,6,5,9,20,Ukraine,176308825694,45593300
Summer,2012,London,Great Britain,13,Hungary,8,4,6,18,Hungary,124600486886,9943755
Summer,2012,London,Great Britain,14,Canada,1,5,12,18,Canada,1821424139311,34880491
Summer,2012,London,Great Britain,15,Spain,3,10,4,17,Spain,1322964772435,46217961
Summer,2012,London,Great Britain,16,Brazil,3,5,9,17,Brazil,2252664120777,198656019
Summer,2012,London,Great Britain,17,Cuba,5,3,6,14,Cuba,0,11270957
Summer,2012,London,Great Britain,18,Kazakhstan,7,1,5,13,Kazakhstan,203520610288,16797459
Summer,2012,London,Great Britain,19,New Zealand,6,2,5,13,New Zealand,167347054534,4433100
Summer,2012,London,Great Britain,20,Iran,4,5,3,12,"Iran, Islamic Rep.",0,76424443
Summer,2012,London,Great Britain,21,Jamaica,4,4,4,12,Jamaica,14755051129,2712100
Summer,2012,London,Great Britain,22,Belarus,2,5,5,12,Belarus,63267017440,9464000
Summer,2012,London,Great Britain,23,Kenya,2,4,5,11,Kenya,40697163224,43178141
Summer,2012,London,Great Britain,24,Czech Republic,4,3,3,10,Czech Republic,196446226536,10514810
Summer,2012,London,Great Britain,25,Azerbaijan,2,2,6,10,Azerbaijan,66604589419,9297507
Summer,2012,London,Great Britain,26,Poland,2,2,6,10,Poland,489795486644,38542737
Summer,2012,London,Great Britain,27,Romania,2,5,2,9,Romania,192710684930,21326905
Summer,2012,London,Great Britain,28,Denmark,2,4,3,9,Denmark,314887354338,5590478
Summer,2012,London,Great Britain,29,Sweden,1,4,3,8,Sweden,523805608856,9516617
Summer,2012,London,Great Britain,30,Colombia,1,3,4,8,Colombia,369606330702,47704427
Summer,2012,London,Great Britain,31,Ethiopia,3,1,3,7,Ethiopia,41605361646,91728849
Summer,2012,London,Great Britain,32,Mexico,1,3,3,7,Mexico,1178126184343,120847477
Summer,2012,London,Great Britain,33,Georgia,1,3,3,7,Georgia,15747288816,4511800
Summer,2012,London,Great Britain,34,North Korea,4,0,2,6,"Korea, Dem. Rep.",0,24763188
Summer,2012,London,Great Britain,35,South Africa,3,2,1,6,South Africa,384312674446,51189307
Summer,2012,London,Great Britain,36,Croatia,3,1,2,6,Croatia,59228247411,4267000
Summer,2012,London,Great Britain,37,India,0,2,4,6,India,1841709755679,1236686732
Summer,2012,London,Great Britain,38,Turkey,2,2,1,5,Turkey,789257487307,73997128
Summer,2012,London,Great Britain,39,Lithuania,2,1,2,5,Lithuania,42343521966,2985509
Summer,2012,London,Great Britain,40,Ireland,1,1,3,5,Ireland,210771406836,4588798
Summer,2012,London,Great Britain,41,Mongolia,0,2,3,5,Mongolia,10271393281,2796484
Summer,2012,London,Great Britain,42,Switzerland,2,2,0,4,Switzerland,631173029582,7997152
Summer,2012,London,Great Britain,43,Norway,2,1,1,4,Norway,499667211001,5018869
Summer,2012,London,Great Britain,44,Slovenia,1,1,2,4,Slovenia,45279487180,2058152
Summer,2012,London,Great Britain,45,Argentina,1,1,2,4,Argentina,475501675473,41086927
Summer,2012,London,Great Britain,46,Serbia,1,1,2,4,Serbia,37488935010,7223887
Summer,2012,London,Great Britain,47,Trinidad and Tobago,1,0,3,4,Trinidad and Tobago,23320256743,1337439
Summer,2012,London,Great Britain,48,Slovakia,0,1,3,4,Slovak Republic,91148717949,5410267
Summer,2012,London,Great Britain,49,Tunisia,1,1,1,3,Tunisia,45662043358,10777500
Summer,2012,London,Great Britain,50,Uzbekistan,1,0,2,3,Uzbekistan,51112745669,29776850
Summer,2012,London,Great Britain,51,Thailand,0,2,1,3,Thailand,365965815820,66785001
Summer,2012,London,Great Britain,52,Belgium,0,1,2,3,Belgium,483261763950,11142157
Summer,2012,London,Great Britain,53,Armenia,0,1,2,3,Armenia,9950522733,2969081
Summer,2012,London,Great Britain,54,Finland,0,1,2,3,Finland,247545641553,5414293
Summer,2012,London,Great Britain,55,Dominican Republic,1,1,0,2,Dominican Republic,59047202158,10276621
Summer,2012,London,Great Britain,56,Latvia,1,0,1,2,Latvia,28372577697,2025473
Summer,2012,London,Great Britain,57,Egypt,0,2,0,2,"Egypt, Arab Rep.",262831912587,80721874
Summer,2012,London,Great Britain,59,Indonesia,0,1,1,2,Indonesia,878043027882,246864191
Summer,2012,London,Great Britain,60,Puerto Rico,0,1,1,2,Puerto Rico,101495811266,3667084
Summer,2012,London,Great Britain,61,Estonia,0,1,1,2,Estonia,22390242609,1339396
Summer,2012,London,Great Britain,62,Bulgaria,0,1,1,2,Bulgaria,50972109857,7304632
Summer,2012,London,Great Britain,63,Malaysia,0,1,1,2,Malaysia,305032745225,29239927
Summer,2012,London,Great Britain,64,Greece,0,0,2,2,Greece,249098684277,11280167
Summer,2012,London,Great Britain,65,Singapore,0,0,2,2,Singapore,274701299734,5312400
Summer,2012,London,Great Britain,66,Moldova,0,0,2,2,Moldova,7252769934,3559541
Summer,2012,London,Great Britain,67,Qatar,0,0,2,2,Qatar,0,2050514
Summer,2012,London,Great Britain,68,Grenada,1,0,0,1,Grenada,766510727,105483
Summer,2012,London,Great Britain,69,Algeria,1,0,0,1,Algeria,205788796017,38481705
Summer,2012,London,Great Britain,70,Uganda,1,0,0,1,Uganda,19881412441,36345860
Summer,2012,London,Great Britain,71,Bahamas,1,0,0,1,"Bahamas, The",8149004000,371960
Summer,2012,London,Great Britain,72,Venezuela,1,0,0,1,"Venezuela, RB",381286237848,29954782
Summer,2012,London,Great Britain,73,Guatemala,0,1,0,1,Guatemala,50233749191,15082831
Summer,2012,London,Great Britain,74,Botswana,0,1,0,1,Botswana,14504339386,2003910
Summer,2012,London,Great Britain,75,Portugal,0,1,0,1,Portugal,212273977886,10526703
Summer,2012,London,Great Britain,76,Montenegro,0,1,0,1,Montenegro,4373170812,621081
Summer,2012,London,Great Britain,77,Cyprus,0,1,0,1,Cyprus,22766912960,1128994
Summer,2012,London,Great Britain,78,Gabon,0,1,0,1,Gabon,18377083881,1632572
Summer,2012,London,Great Britain,79,Kuwait,0,0,1,1,Kuwait,0,3250496
Summer,2012,London,Great Britain,80,Afghanistan,0,0,1,1,Afghanistan,20496777409,29824536
Summer,2012,London,Great Britain,81,Morocco,0,0,1,1,Morocco,95981572517,32521143
Summer,2012,London,Great Britain,82,Bahrain,0,0,1,1,Bahrain,0,1317827
Summer,2012,London,Great Britain,83,Tajikistan,0,0,1,1,Tajikistan,6972163026,8008990
Summer,2012,London,Great Britain,84,Hong Kong,0,0,1,1,"Hong Kong SAR, China",263259372905,7154600
Summer,2012,London,Great Britain,85,Saudi Arabia,0,0,1,1,Saudi Arabia,711049600000,28287855
Winter,2010,Vancouver,Canada,1,United States,9,15,13,37,United States,14958300000000,309326225
Winter,2010,Vancouver,Canada,2,Germany,10,13,7,30,Germany,3282894736842,81776930
Winter,2010,Vancouver,Canada,3,Canada,14,7,5,26,Canada,1577040082218,34126547
Winter,2010,Vancouver,Canada,4,Norway,9,8,6,23,Norway,421236092715,4889252
Winter,2010,Vancouver,Canada,5,Austria,4,6,6,16,Austria,375217439474,8389771
Winter,2010,Vancouver,Canada,6,Russia,3,5,7,15,Russian Federation,1524916698233,142389000
Winter,2010,Vancouver,Canada,7,South Korea,6,6,2,14,"Korea, Rep.",1014890141871,49410000
Winter,2010,Vancouver,Canada,8,Sweden,5,2,4,11,Sweden,462903051318,9378126
Winter,2010,Vancouver,Canada,9,China,5,2,4,11,China,5930529470799,1337705000
Winter,2010,Vancouver,Canada,10,France,2,3,6,11,France,2548315434211,65031235
Winter,2010,Vancouver,Canada,11,Switzerland,6,0,3,9,Switzerland,550638974462,7824909
Winter,2010,Vancouver,Canada,12,Netherlands,4,1,3,8,Netherlands,772090789474,16615394
Winter,2010,Vancouver,Canada,13,Czech Republic,2,0,4,6,Czech Republic,198475392670,10519792
Winter,2010,Vancouver,Canada,14,Poland,1,3,2,6,Poland,469736810691,38183683
Winter,2010,Vancouver,Canada,15,Italy,1,1,3,5,Italy,2041954747600,60483385
Winter,2010,Vancouver,Canada,16,Japan,0,3,2,5,Japan,5495379357485,127450459
Winter,2010,Vancouver,Canada,17,Finland,0,1,4,5,Finland,235163157895,5363352
Winter,2010,Vancouver,Canada,18,Australia,2,1,0,3,Australia,1141793593834,22065300
Winter,2010,Vancouver,Canada,19,Slovakia,1,1,1,3,Slovak Republic,87077443709,5430099
Winter,2010,Vancouver,Canada,20,Belarus,1,1,1,3,Belarus,55220932614,9490000
Winter,2010,Vancouver,Canada,21,Croatia,0,2,1,3,Croatia,58873839435,4417800
Winter,2010,Vancouver,Canada,22,Slovenia,0,2,1,3,Slovenia,46908328071,2048583
Winter,2010,Vancouver,Canada,23,Latvia,0,2,0,2,Latvia,24009680460,2239008
Winter,2010,Vancouver,Canada,24,Great Britain,1,0,0,1,United Kingdom,2285561538462,62271177
Winter,2010,Vancouver,Canada,25,Kazakhstan,0,1,0,1,Kazakhstan,148052371904,16323287
Winter,2010,Vancouver,Canada,26,Estonia,0,1,0,1,Estonia,18909381437,1340161
Summer,2008,Beijing,China,1,United States,36,38,36,110,United States,14720300000000,304093966
Summer,2008,Beijing,China,2,China,51,21,28,100,China,4521827288304,1324655000
Summer,2008,Beijing,China,3,Russia,23,21,29,73,Russian Federation,1660846387626,141950000
Summer,2008,Beijing,China,4,Great Britain,19,13,15,47,United Kingdom,2687796663762,61393521
Summer,2008,Beijing,China,5,Australia,14,15,17,46,Australia,1055506156997,21384400
Summer,2008,Beijing,China,6,Germany,16,10,15,41,Germany,3623686234299,82110097
Summer,2008,Beijing,China,7,France,7,16,18,41,France,2831794045483,64371099
Summer,2008,Beijing,China,8,South Korea,13,10,8,31,"Korea, Rep.",931402204982,48949000
Summer,2008,Beijing,China,9,Italy,8,9,10,27,Italy,2307311493055,59832179
Summer,2008,Beijing,China,10,Ukraine,7,5,15,27,Ukraine,179992405832,46258200
Summer,2008,Beijing,China,11,Japan,9,6,10,25,Japan,4849208099924,127704040
Summer,2008,Beijing,China,12,Cuba,2,11,11,24,Cuba,60806200000,11296355
Summer,2008,Beijing,China,13,Belarus,4,5,10,19,Belarus,60763483146,9528000
Summer,2008,Beijing,China,14,Spain,5,10,3,18,Spain,1593420002197,45555716
Summer,2008,Beijing,China,15,Canada,3,9,6,18,Canada,1502678437547,33317662
Summer,2008,Beijing,China,16,Netherlands,7,5,4,16,Netherlands,870811147325,16445593
Summer,2008,Beijing,China,17,Brazil,3,4,8,15,Brazil,1653538618145,191765567
Summer,2008,Beijing,China,18,Kenya,6,4,4,14,Kenya,30465489796,38773277
Summer,2008,Beijing,China,19,Kazakhstan,2,4,7,13,Kazakhstan,133441649222,15673999
Summer,2008,Beijing,China,20,Jamaica,6,3,2,11,Jamaica,13676837630,2687200
Summer,2008,Beijing,China,21,Poland,3,6,1,10,Poland,529432301179,38125759
Summer,2008,Beijing,China,22,Hungary,3,5,2,10,Hungary,154233541852,10038188
Summer,2008,Beijing,China,23,Norway,3,5,1,9,Norway,453885460993,4768212
Summer,2008,Beijing,China,24,New Zealand,3,2,4,9,New Zealand,130672262113,4268900
Summer,2008,Beijing,China,25,Romania,4,1,3,8,Romania,204335225694,21513622
Summer,2008,Beijing,China,26,Turkey,1,4,3,8,Turkey,730337495966,70363511
Summer,2008,Beijing,China,27,Ethiopia,4,1,2,7,Ethiopia,25608626476,82621190
Summer,2008,Beijing,China,28,Denmark,2,2,3,7,Denmark,343881383958,5493621
Summer,2008,Beijing,China,29,Switzerland,2,1,4,7,Switzerland,524289203562,7647675
Summer,2008,Beijing,China,30,Azerbaijan,1,2,4,7,Azerbaijan,48852482960,8763400
Summer,2008,Beijing,China,31,Czech Republic,3,3,0,6,Czech Republic,225448799063,10424336
Summer,2008,Beijing,China,32,Slovakia,3,2,1,6,Slovak Republic,97908891167,5406626
Summer,2008,Beijing,China,33,Georgia,3,0,3,6,Georgia,12799337250,4383800
Summer,2008,Beijing,China,34,North Korea,2,1,3,6,"Korea, Dem. Rep.",0,24243894
Summer,2008,Beijing,China,35,Argentina,2,0,4,6,Argentina,326582808527,39676083
Summer,2008,Beijing,China,36,Uzbekistan,1,2,3,6,Uzbekistan,27934030937,27302800
Summer,2008,Beijing,China,37,Armenia,0,0,6,6,Armenia,11662017845,2977488
Summer,2008,Beijing,China,38,Slovenia,1,2,2,5,Slovenia,54606018255,2021316
Summer,2008,Beijing,China,39,Indonesia,1,1,3,5,Indonesia,510244548960,234243489
Summer,2008,Beijing,China,40,Bulgaria,1,1,3,5,Bulgaria,51824892678,7623395
Summer,2008,Beijing,China,41,Sweden,0,4,1,5,Sweden,486158607820,9219637
Summer,2008,Beijing,China,42,Croatia,0,2,3,5,Croatia,69595272329,4434000
Summer,2008,Beijing,China,43,Lithuania,0,2,3,5,Lithuania,47252926429,3358115
Summer,2008,Beijing,China,44,Thailand,2,2,0,4,Thailand,272577799257,66185340
Summer,2008,Beijing,China,45,Mongolia,2,2,0,4,Mongolia,5623236708,2632834
Summer,2008,Beijing,China,46,Zimbabwe,1,3,0,4,Zimbabwe,4415702801,12784041
Summer,2008,Beijing,China,47,Finland,1,1,2,4,Finland,271974219065,5313399
Summer,2008,Beijing,China,48,Greece,0,2,2,4,Greece,341593975533,11237094
Summer,2008,Beijing,China,49,Nigeria,0,1,3,4,Nigeria,208064724514,151208080
Summer,2008,Beijing,China,51,Mexico,2,0,1,3,Mexico,1099070673263,114968039
Summer,2008,Beijing,China,52,Latvia,1,1,1,3,Latvia,33669367720,2266094
Summer,2008,Beijing,China,53,India,1,0,2,3,India,1224095295077,1174662334
Summer,2008,Beijing,China,54,Serbia,0,1,2,3,Serbia,47760580366,7350221
Summer,2008,Beijing,China,55,Ireland,0,1,2,3,Ireland,264034092036,4425683
Summer,2008,Beijing,China,56,Austria,0,1,2,3,Austria,414171069689,8336926
Summer,2008,Beijing,China,57,Portugal,1,1,0,2,Portugal,251925293881,10622413
Summer,2008,Beijing,China,58,Estonia,1,1,0,2,Estonia,23781539699,1340675
Summer,2008,Beijing,China,59,Belgium,1,1,0,2,Belgium,507379060314,10709973
Summer,2008,Beijing,China,60,Dominican Republic,1,1,0,2,Dominican Republic,45796188394,9750195
Summer,2008,Beijing,China,61,Iran,1,0,1,2,"Iran, Islamic Rep.",355988367222,72660887
Summer,2008,Beijing,China,62,Trinidad and Tobago,0,2,0,2,Trinidad and Tobago,28017710148,1316449
Summer,2008,Beijing,China,63,Tajikistan,0,1,1,2,Tajikistan,5161336170,7275252
Summer,2008,Beijing,China,64,Algeria,0,1,1,2,Algeria,171000162581,35725377
Summer,2008,Beijing,China,65,Colombia,0,1,1,2,Colombia,244056736297,45153037
Summer,2008,Beijing,China,66,Kyrgyzstan,0,1,1,2,Kyrgyz Republic,5139957785,5318700
Summer,2008,Beijing,China,67,Bahamas,0,1,1,2,"Bahamas, The",8246650000,348340
Summer,2008,Beijing,China,68,Morocco,0,1,1,2,Morocco,88882967742,30955151
Summer,2008,Beijing,China,69,Panama,1,0,0,1,Panama,23001600000,3553480
Summer,2008,Beijing,China,70,Cameroon,1,0,0,1,Cameroon,23735537026,19595026
Summer,2008,Beijing,China,71,Tunisia,1,0,0,1,Tunisia,44736953169,10328900
Summer,2008,Beijing,China,72,Vietnam,0,1,0,1,Vietnam,99130304099,85122300
Summer,2008,Beijing,China,73,Sudan,0,1,0,1,Sudan,54082389393,34040065
Summer,2008,Beijing,China,74,Ecuador,0,1,0,1,Ecuador,61762635000,14512402
Summer,2008,Beijing,China,75,South Africa,0,1,0,1,South Africa,273141750193,48793022
Summer,2008,Beijing,China,76,Malaysia,0,1,0,1,Malaysia,230987618904,27302348
Summer,2008,Beijing,China,77,Iceland,0,1,0,1,Iceland,16832079677,317414
Summer,2008,Beijing,China,78,Chile,0,1,0,1,Chile,179626662207,16831184
Summer,2008,Beijing,China,79,Singapore,0,1,0,1,Singapore,178924164930,4839400
Summer,2008,Beijing,China,80,Egypt,0,0,1,1,"Egypt, Arab Rep.",162818181818,75491922
Summer,2008,Beijing,China,81,Israel,0,0,1,1,Israel,201661649944,7308800
Summer,2008,Beijing,China,82,Afghanistan,0,0,1,1,Afghanistan,10190534636,27032197
Summer,2008,Beijing,China,83,Venezuela,0,0,1,1,"Venezuela, RB",315600203540,28120312
Summer,2008,Beijing,China,84,Mauritius,0,0,1,1,Mauritius,9641077098,1268565
Summer,2008,Beijing,China,85,Moldova,0,0,1,1,Moldova,6054806101,3570107
Summer,2008,Beijing,China,86,Togo,0,0,1,1,Togo,3159544509,5987491
Winter,2006,Torino,Italy,1,Germany,11,12,6,29,Germany,2902748698160,82376451
Winter,2006,Torino,Italy,2,United States,9,9,7,25,United States,13857900000000,298379912
Winter,2006,Torino,Italy,3,Canada,7,10,7,24,Canada,1278610846645,32576074
Winter,2006,Torino,Italy,4,Austria,9,7,7,23,Austria,324954402044,8268641
Winter,2006,Torino,Italy,5,Russia,8,6,8,22,Russian Federation,989930542279,142500000
Winter,2006,Torino,Italy,6,Norway,2,8,9,19,Norway,340041912704,4660677
Winter,2006,Torino,Italy,7,Sweden,7,2,5,14,Sweden,399075661573,9080505
Winter,2006,Torino,Italy,8,Switzerland,5,4,5,14,Switzerland,405183914853,7483934
Winter,2006,Torino,Italy,9,South Korea,6,3,2,11,"Korea, Rep.",951773478985,48372000
Winter,2006,Torino,Italy,10,Italy,5,0,6,11,Italy,1872982702430,58941499
Winter,2006,Torino,Italy,11,China,2,4,5,11,China,2712950886698,1311020000
Winter,2006,Torino,Italy,12,France,3,2,4,9,France,2255705477450,63617975
Winter,2006,Torino,Italy,13,Netherlands,3,2,4,9,Netherlands,677691901433,16346101
Winter,2006,Torino,Italy,14,Finland,0,6,3,9,Finland,207949409201,5266268
Winter,2006,Torino,Italy,15,Czech Republic,1,2,1,4,Czech Republic,148345088496,10269134
Winter,2006,Torino,Italy,16,Estonia,3,0,0,3,Estonia,16798495348,1343547
Winter,2006,Torino,Italy,17,Croatia,1,2,0,3,Croatia,49855078905,4440000
Winter,2006,Torino,Italy,18,Australia,1,0,1,2,Australia,747463312369,20697900
Winter,2006,Torino,Italy,19,Poland,0,1,1,2,Poland,341669943594,38141267
Winter,2006,Torino,Italy,20,Ukraine,0,0,2,2,Ukraine,107753069307,46787750
Winter,2006,Torino,Italy,21,Japan,1,0,0,1,Japan,4356761451087,127756000
Winter,2006,Torino,Italy,22,Great Britain,0,1,0,1,United Kingdom,2483008793219,60595632
Winter,2006,Torino,Italy,23,Slovakia,0,1,0,1,Slovak Republic,69002095095,5391409
Winter,2006,Torino,Italy,24,Bulgaria,0,1,0,1,Bulgaria,33209188739,7699020
Winter,2006,Torino,Italy,25,Belarus,0,1,0,1,Belarus,36961918859,9604000
Winter,2006,Torino,Italy,26,Latvia,0,0,1,1,Latvia,19935046397,2287948
Summer,2004,Athina,Greece,1,United States,36,39,26,101,United States,12277000000000,292805298
Summer,2004,Athina,Greece,2,Russia,28,26,36,90,Russian Federation,591016690743,143849574
Summer,2004,Athina,Greece,3,China,32,17,14,63,China,1931644331142,1296075000
Summer,2004,Athina,Greece,4,Australia,17,16,17,50,Australia,613161189358,20127400
Summer,2004,Athina,Greece,5,Germany,13,16,20,49,Germany,2726341472500,82516260
Summer,2004,Athina,Greece,6,Japan,16,9,12,37,Japan,4655803055651,127761000
Summer,2004,Athina,Greece,7,France,11,9,13,33,France,2055678853687,62702121
Summer,2004,Athina,Greece,8,Italy,10,11,11,32,Italy,1735521503772,58175310
Summer,2004,Athina,Greece,9,South Korea,9,12,9,30,"Korea, Rep.",721975255824,48039000
Summer,2004,Athina,Greece,10,Great Britain,9,9,12,30,United Kingdom,2220820974770,59867866
Summer,2004,Athina,Greece,11,Cuba,9,7,11,27,Cuba,38202800000,11273363
Summer,2004,Athina,Greece,12,Ukraine,8,5,9,22,Ukraine,64883060726,47451600
Summer,2004,Athina,Greece,13,Netherlands,4,9,9,22,Netherlands,609889925686,16281779
Summer,2004,Athina,Greece,14,Spain,3,11,6,20,Spain,1044612070304,42691689
Summer,2004,Athina,Greece,15,Romania,8,5,6,19,Romania,75489440362,21684890
Summer,2004,Athina,Greece,16,Hungary,8,6,3,17,Hungary,101925734602,10107146
Summer,2004,Athina,Greece,17,Greece,6,6,4,16,Greece,227950420086,11061701
Summer,2004,Athina,Greece,18,Belarus,2,5,6,13,Belarus,23141587718,9730000
Summer,2004,Athina,Greece,19,Canada,3,6,3,12,Canada,992226099522,31995000
Summer,2004,Athina,Greece,20,Bulgaria,2,1,9,12,Bulgaria,25283228366,7781161
Summer,2004,Athina,Greece,21,Turkey,3,3,5,11,Turkey,392166274991,66845635
Summer,2004,Athina,Greece,22,Brazil,5,2,3,10,Brazil,663760341880,184010283
Summer,2004,Athina,Greece,23,Poland,3,2,5,10,Poland,252768998589,38182222
Summer,2004,Athina,Greece,24,Czech Republic,1,3,5,9,Czech Republic,113976672925,10216016
Summer,2004,Athina,Greece,25,Thailand,3,1,4,8,Thailand,161339790595,65087400
Summer,2004,Athina,Greece,26,Denmark,2,1,5,8,Denmark,244727978021,5404523
Summer,2004,Athina,Greece,27,Kazakhstan,1,4,3,8,Kazakhstan,43151647003,15012984
Summer,2004,Athina,Greece,28,Sweden,4,2,1,7,Sweden,362089648913,8993531
Summer,2004,Athina,Greece,29,Austria,2,4,1,7,Austria,291430382497,8171966
Summer,2004,Athina,Greece,30,Ethiopia,2,3,2,7,Ethiopia,9954110936,74066147
Summer,2004,Athina,Greece,31,Kenya,1,4,2,7,Kenya,16095321631,34834606
Summer,2004,Athina,Greece,32,Norway,5,0,1,6,Norway,260029106208,4591910
Summer,2004,Athina,Greece,33,Slovakia,2,2,2,6,Slovak Republic,56073225726,5382438
Summer,2004,Athina,Greece,34,Iran,2,2,2,6,"Iran, Islamic Rep.",163226579221,69342126
Summer,2004,Athina,Greece,35,Argentina,2,0,4,6,Argentina,153129509710,38308779
Summer,2004,Athina,Greece,36,South Africa,1,3,2,6,South Africa,219092936699,46664771
Summer,2004,Athina,Greece,37,New Zealand,3,2,0,5,New Zealand,102983802756,4087500
Summer,2004,Athina,Greece,39,Jamaica,2,1,2,5,Jamaica,10173234921,2638100
Summer,2004,Athina,Greece,40,Uzbekistan,2,1,2,5,Uzbekistan,12030023548,25864350
Summer,2004,Athina,Greece,41,Croatia,1,2,2,5,Croatia,41003558916,4439000
Summer,2004,Athina,Greece,42,Switzerland,1,1,3,5,Switzerland,374224186244,7389625
Summer,2004,Athina,Greece,43,Egypt,1,1,3,5,"Egypt, Arab Rep.",78845185709,70591288
Summer,2004,Athina,Greece,44,Azerbaijan,1,0,4,5,Azerbaijan,8680511918,8306500
Summer,2004,Athina,Greece,45,North Korea,0,4,1,5,"Korea, Dem. Rep.",0,23639303
Summer,2004,Athina,Greece,46,Georgia,2,2,0,4,Georgia,5125273877,4318300
Summer,2004,Athina,Greece,47,Indonesia,1,1,2,4,Indonesia,256836883305,221293797
Summer,2004,Athina,Greece,48,Latvia,0,4,0,4,Latvia,13761569545,2312819
Summer,2004,Athina,Greece,49,Mexico,0,3,1,4,Mexico,774800766586,109381550
Summer,2004,Athina,Greece,50,Slovenia,0,1,3,4,Slovenia,33837749815,1997012
